"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","IDN.TX_RPCH.A","OBS_VALUE","Indonesia","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","9.482","3.075","-3.454","-9.044","20.086","0.954","4.405","1.840","7.026","-0.506","8.686","7.992","7.139","6.943","7.164"
"IMF.RES:WEO(9.0.0)","IDN.TM_RPCH.A","OBS_VALUE","Indonesia","Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","10.294","13.854","-9.354","-14.424","14.281","8.308","-3.235","6.253","5.332","7.240","8.910","7.282","7.284","7.409","7.258"
"IMF.RES:WEO(9.0.0)","IDN.GGXONLB_NGDP.A","OBS_VALUE","Indonesia","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.670","0.048","-0.350","-4.041","-2.382","-0.335","0.464","-0.077","-0.757","-0.667","-0.651","-0.603","-0.584","-0.526","-0.544"
"IMF.RES:WEO(9.0.0)","IDN.NGDPPC.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","51997473.556","56173024.391","59317914.263","57154438.660","62259074.080","71044778.377","74964470.451","78617514.394","83747735.101","89648998.796","95728024.706","102293230.322","109364118.941","117008365.684","125240032.200"
"IMF.RES:WEO(9.0.0)","IDN.GGR.A","OBS_VALUE","Indonesia","Revenue, General government, Domestic currency","Annual","Billions","1926989.320","2214097.080","2259030.010","1907538.440","2329015.330","2928560.550","3132867.000","3228543.990","3162925.000","3563659.971","3821933.579","4147696.238","4517940.070","4916864.574","5342794.515"
"IMF.RES:WEO(9.0.0)","IDN.TMG_RPCH.A","OBS_VALUE","Indonesia","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","10.294","13.854","-9.354","-14.424","14.281","8.308","-3.235","6.253","5.332","7.240","8.910","7.282","7.284","7.409","7.258"
"IMF.RES:WEO(9.0.0)","IDN.GGSB.A","OBS_VALUE","Indonesia","Structural balance, General government, Domestic currency","Annual","Billions","-297483.065","-243619.837","-326410.368","-841455.786","-678121.343","-436302.310","-330211.058","-494643.355","-691936.832","-753237.626","-813615.474","-873711.342","-932643.230","-993613.481","-1069611.457"
"IMF.RES:WEO(9.0.0)","IDN.NGDPD.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1015.619","1042.272","1119.100","1059.055","1186.510","1319.101","1371.167","1396.302","1445.642","1539.872","1659.491","1790.060","1930.127","2081.911","2245.812"
"IMF.RES:WEO(9.0.0)","IDN.PPPEX.A","OBS_VALUE","Indonesia","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","4756.169","4833.599","4847.445","4791.007","4808.429","4918.708","4815.786","4740.941","4719.370","4724.970","4742.615","4783.488","4818.232","4850.396","4884.321"
"IMF.RES:WEO(9.0.0)","IDN.GGXWDN_NGDP.A","OBS_VALUE","Indonesia","Net debt, General government, Percent of GDP","Annual","Units","25.285","26.658","27.035","36.130","37.850","37.289","36.928","37.642","38.676","39.310","39.775","40.135","40.411","40.591","40.729"
